input size	Human	Mouse	detect	sp_coef
80	0.80755280505033	0.63	0.21079924551582763	0.8307388442392833
80	0.7987327764501607	0.617	0.22046220451876936	0.8346923901964007
80	0.7962239014267696	0.625	0.20628093581510806	0.9414381310385691
80	0.8100698088237831	0.622	0.2208228996146061	0.9246355607208204
80	0.7997803952665987	0.621	0.20802994067895253	0.7832962927538751
80	0.8042649893866284	0.632	0.2052429504795677	0.7210279439292767
80	0.7851975536622016	0.617	0.21213079433579318	0.9320484593904155
80	0.7926803026110438	0.614	0.22692434602685316	0.9483568364635245
80	0.7876387324824594	0.597	0.21077767695515165	0.9127749228494683
80	0.8042963615480953	0.612	0.211155167245191	0.8510007672695098
80	0.7932369906644783	0.591	0.23514938958318446	0.8534717334927081
80	0.789851475909628	0.608	0.22185166983142934	0.9389671648153708
80	0.7933842086682739	0.614	0.22660848427159455	0.9572523148670385
80	0.7924862774713101	0.611	0.21478662343975297	0.843093675355275
80	0.8015317743000271	0.62	0.21386508334894827	0.8000988630716238
80	0.7938061277483526	0.616	0.21551810068206245	0.8875710673728453
80	0.8070356481944662	0.644	0.18112887031693925	0.6913763492508967
80	0.7895968608572431	0.613	0.21936410933580872	0.9201878215190633
80	0.7883384297165835	0.595	0.23405500454776687	0.9305658796564965
80	0.787924935421925	0.619	0.22263262007662915	0.9458858702403262
